model	dataset	k	n_repeats	threshold	accuracy	precision	recall	specificity	f1	tp	tn	fp	fn
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.05982905982905983	0.922	0.232	0.414	0.943	0.296	11	637	38	16
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.06125356125356125	0.922	0.235	0.414	0.943	0.299	11	637	38	16
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.06267806267806268	0.923	0.233	0.407	0.944	0.295	11	638	37	16
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.06410256410256411	0.924	0.237	0.407	0.945	0.298	11	639	37	16
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.06552706552706553	0.925	0.239	0.400	0.947	0.298	11	640	36	16
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.06695156695156695	0.925	0.236	0.393	0.947	0.294	11	640	35	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.06837606837606838	0.926	0.241	0.393	0.948	0.297	11	641	35	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.0698005698005698	0.927	0.244	0.393	0.949	0.300	11	641	34	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.07122507122507123	0.928	0.248	0.393	0.950	0.302	11	642	33	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.07264957264957266	0.929	0.254	0.393	0.951	0.306	11	643	32	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.07407407407407408	0.931	0.261	0.393	0.953	0.312	11	644	31	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.0754985754985755	0.931	0.257	0.386	0.953	0.307	10	644	31	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.07692307692307693	0.932	0.264	0.386	0.955	0.312	10	645	30	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.07834757834757836	0.932	0.265	0.386	0.955	0.313	10	645	30	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.07977207977207977	0.933	0.269	0.386	0.956	0.315	10	646	29	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.0811965811965812	0.934	0.271	0.386	0.957	0.317	10	646	29	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.08262108262108263	0.935	0.278	0.386	0.958	0.322	10	647	28	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.08404558404558404	0.935	0.278	0.386	0.958	0.322	10	647	28	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.08547008547008547	0.936	0.285	0.386	0.959	0.326	10	648	27	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.0868945868945869	0.937	0.288	0.386	0.960	0.328	10	648	27	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.08831908831908833	0.938	0.292	0.386	0.960	0.331	10	649	26	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.08974358974358974	0.938	0.295	0.386	0.961	0.333	10	649	26	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.09116809116809117	0.938	0.297	0.386	0.961	0.334	10	649	26	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.0925925925925926	0.938	0.294	0.379	0.962	0.329	10	650	26	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.09401709401709402	0.939	0.293	0.371	0.962	0.326	10	650	25	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.09544159544159544	0.940	0.301	0.371	0.963	0.331	10	651	24	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.09686609686609687	0.940	0.303	0.371	0.964	0.332	10	651	24	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.0982905982905983	0.941	0.306	0.371	0.964	0.334	10	651	24	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.09971509971509972	0.941	0.307	0.371	0.964	0.335	10	652	24	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.10113960113960115	0.941	0.307	0.371	0.964	0.335	10	652	24	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.10256410256410257	0.941	0.307	0.371	0.964	0.335	10	652	24	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.10398860398860399	0.941	0.309	0.371	0.965	0.335	10	652	23	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.10541310541310542	0.941	0.309	0.371	0.965	0.335	10	652	23	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.10683760683760685	0.941	0.309	0.371	0.965	0.335	10	652	23	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.10826210826210826	0.941	0.312	0.371	0.965	0.337	10	652	23	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.10968660968660969	0.942	0.313	0.371	0.965	0.338	10	652	23	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.11111111111111112	0.942	0.311	0.364	0.966	0.334	10	652	23	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.11253561253561255	0.942	0.313	0.364	0.966	0.335	10	653	23	17
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.11396011396011396	0.942	0.315	0.364	0.966	0.336	10	653	22	17
