model	model_nr	dataset	k	n_repeats	threshold	accuracy	precision	recall	specificity	f1	tp	tn	fp	fn
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.05555555555555556	0.913	0.211	0.429	0.933	0.282	12	631	45	16
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.05698005698005698	0.915	0.214	0.429	0.935	0.286	12	632	44	16
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.05840455840455841	0.915	0.214	0.429	0.935	0.286	12	632	44	16
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.05982905982905983	0.915	0.214	0.429	0.935	0.286	12	632	44	16
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.06125356125356125	0.915	0.214	0.429	0.935	0.286	12	632	44	16
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.06267806267806268	0.916	0.218	0.429	0.936	0.289	12	633	43	16
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.06410256410256411	0.918	0.222	0.429	0.938	0.293	12	634	42	16
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.06552706552706553	0.916	0.208	0.393	0.938	0.272	11	634	42	17
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.06695156695156695	0.916	0.208	0.393	0.938	0.272	11	634	42	17
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.06837606837606838	0.918	0.212	0.393	0.939	0.275	11	635	41	17
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.0698005698005698	0.919	0.216	0.393	0.941	0.278	11	636	40	17
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.07122507122507123	0.920	0.220	0.393	0.942	0.282	11	637	39	17
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.07264957264957266	0.920	0.220	0.393	0.942	0.282	11	637	39	17
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.07407407407407408	0.920	0.220	0.393	0.942	0.282	11	637	39	17
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.0754985754985755	0.919	0.204	0.357	0.942	0.260	10	637	39	18
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.07692307692307693	0.920	0.208	0.357	0.944	0.263	10	638	38	18
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.07834757834757836	0.920	0.208	0.357	0.944	0.263	10	638	38	18
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.07977207977207977	0.922	0.213	0.357	0.945	0.267	10	639	37	18
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.0811965811965812	0.923	0.217	0.357	0.947	0.270	10	640	36	18
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.08262108262108263	0.925	0.222	0.357	0.948	0.274	10	641	35	18
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.08404558404558404	0.925	0.222	0.357	0.948	0.274	10	641	35	18
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.08547008547008547	0.925	0.222	0.357	0.948	0.274	10	641	35	18
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.0868945868945869	0.926	0.227	0.357	0.950	0.278	10	642	34	18
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.08831908831908833	0.926	0.227	0.357	0.950	0.278	10	642	34	18
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.08974358974358974	0.928	0.233	0.357	0.951	0.282	10	643	33	18
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.09116809116809117	0.928	0.233	0.357	0.951	0.282	10	643	33	18
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.0925925925925926	0.928	0.220	0.321	0.953	0.261	9	644	32	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.09401709401709402	0.930	0.231	0.321	0.956	0.269	9	646	30	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.09544159544159544	0.930	0.231	0.321	0.956	0.269	9	646	30	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.09686609686609687	0.930	0.231	0.321	0.956	0.269	9	646	30	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.0982905982905983	0.930	0.231	0.321	0.956	0.269	9	646	30	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.09971509971509972	0.932	0.237	0.321	0.957	0.273	9	647	29	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.10113960113960115	0.932	0.237	0.321	0.957	0.273	9	647	29	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.10256410256410257	0.932	0.237	0.321	0.957	0.273	9	647	29	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.10398860398860399	0.932	0.237	0.321	0.957	0.273	9	647	29	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.10541310541310542	0.932	0.237	0.321	0.957	0.273	9	647	29	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.10683760683760685	0.932	0.237	0.321	0.957	0.273	9	647	29	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.10826210826210826	0.932	0.237	0.321	0.957	0.273	9	647	29	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.10968660968660969	0.932	0.237	0.321	0.957	0.273	9	647	29	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.11111111111111112	0.933	0.243	0.321	0.959	0.277	9	648	28	19
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.11253561253561255	0.933	0.243	0.321	0.959	0.277	9	648	28	19
