threshold	recall	specificity	FalsePositiveRate	precision	F1
0.440	0.188	0.986	0.014	0.475	0.269
0.431	0.188	0.986	0.014	0.475	0.269
0.435	0.188	0.986	0.014	0.475	0.269
0.427	0.188	0.986	0.014	0.475	0.269
0.388	0.188	0.985	0.015	0.453	0.266
0.384	0.188	0.985	0.015	0.453	0.266
0.392	0.188	0.985	0.015	0.453	0.266
0.414	0.188	0.985	0.015	0.453	0.266
0.401	0.188	0.985	0.015	0.453	0.266
0.405	0.188	0.985	0.015	0.453	0.266
0.409	0.188	0.985	0.015	0.453	0.266
0.397	0.188	0.985	0.015	0.453	0.266
0.323	0.208	0.983	0.017	0.463	0.287
0.328	0.208	0.983	0.017	0.463	0.287
0.332	0.208	0.983	0.017	0.463	0.287
0.336	0.208	0.983	0.017	0.463	0.287
0.341	0.188	0.983	0.017	0.430	0.262
0.345	0.188	0.983	0.017	0.430	0.262
0.362	0.188	0.983	0.017	0.430	0.262
0.353	0.188	0.983	0.017	0.430	0.262
0.349	0.188	0.983	0.017	0.430	0.262
0.379	0.188	0.983	0.017	0.430	0.262
0.375	0.188	0.983	0.017	0.430	0.262
0.371	0.188	0.983	0.017	0.430	0.262
0.366	0.188	0.983	0.017	0.430	0.262
0.358	0.188	0.983	0.017	0.430	0.262
0.319	0.208	0.982	0.018	0.439	0.282
0.293	0.208	0.980	0.020	0.421	0.278
0.302	0.208	0.980	0.020	0.421	0.278
0.297	0.208	0.980	0.020	0.421	0.278
0.310	0.208	0.980	0.020	0.421	0.278
0.315	0.208	0.980	0.020	0.421	0.278
0.306	0.208	0.980	0.020	0.421	0.278
0.284	0.208	0.979	0.021	0.405	0.275
0.280	0.208	0.979	0.021	0.405	0.275
0.276	0.208	0.979	0.021	0.405	0.275
0.289	0.208	0.979	0.021	0.405	0.275
0.272	0.208	0.977	0.023	0.393	0.272
0.241	0.229	0.976	0.024	0.402	0.292
0.228	0.229	0.976	0.024	0.402	0.292
0.233	0.229	0.976	0.024	0.402	0.292
0.237	0.229	0.976	0.024	0.402	0.292
