model	model_nr	dataset	k	n_repeats	threshold	accuracy	precision	recall	specificity	f1	tp	tn	fp	fn
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.0373931623931624	0.886	0.252	0.727	0.894	0.374	32	799	95	12
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.038461538461538464	0.886	0.252	0.727	0.894	0.374	32	799	95	12
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.039529914529914535	0.888	0.256	0.727	0.896	0.379	32	801	93	12
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.0405982905982906	0.890	0.260	0.727	0.898	0.383	32	803	91	12
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.04166666666666667	0.891	0.262	0.727	0.899	0.386	32	804	90	12
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.042735042735042736	0.893	0.267	0.727	0.902	0.390	32	806	88	12
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.04380341880341881	0.897	0.274	0.727	0.905	0.398	32	809	85	12
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.04487179487179488	0.899	0.274	0.705	0.908	0.395	31	812	82	13
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.045940170940170943	0.900	0.277	0.705	0.909	0.397	31	813	81	13
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.047008547008547015	0.901	0.279	0.705	0.911	0.400	31	814	80	13
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.04807692307692308	0.901	0.275	0.682	0.912	0.392	30	815	79	14
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.04914529914529915	0.901	0.267	0.636	0.914	0.376	28	817	77	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.050213675213675216	0.904	0.275	0.636	0.917	0.384	28	820	74	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.05128205128205129	0.907	0.283	0.636	0.921	0.392	28	823	71	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.05235042735042736	0.908	0.286	0.636	0.922	0.394	28	824	70	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.05341880341880342	0.908	0.286	0.636	0.922	0.394	28	824	70	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.054487179487179495	0.909	0.289	0.636	0.923	0.397	28	825	69	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.05555555555555556	0.909	0.289	0.636	0.923	0.397	28	825	69	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.05662393162393163	0.910	0.292	0.636	0.924	0.400	28	826	68	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.057692307692307696	0.912	0.295	0.636	0.925	0.403	28	827	67	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.05876068376068377	0.913	0.298	0.636	0.926	0.406	28	828	66	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.05982905982905984	0.915	0.304	0.636	0.928	0.412	28	830	64	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.0608974358974359	0.915	0.304	0.636	0.928	0.412	28	830	64	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.061965811965811975	0.916	0.308	0.636	0.930	0.415	28	831	63	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.06303418803418805	0.916	0.308	0.636	0.930	0.415	28	831	63	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.06410256410256411	0.916	0.308	0.636	0.930	0.415	28	831	63	16
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.06517094017094018	0.918	0.315	0.636	0.932	0.421	28	833	61	16
